item_id,title,images,categories,description,details,average_rating,rating_number
b000k0yfqa,"gourmet,print magazine","{'thumb': 'https://m.media-amazon.com/images/I/51FAeRjiZ9L._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/51FAeRjiZ9L._AC_.jpg', 'variant': 'MAIN', 'hi_res': None}",magazine subscriptions,,"{'Date First Available': 'June 2, 2020', 'Manufacturer': 'Conde Nast Publications'}",2.5,2
b0160cm0vi,"click,print magazine","{'thumb': 'https://m.media-amazon.com/images/I/51xc8ou3v-L._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/51xc8ou3v-L._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/71DKHYh3QrL._AC_SL1024_.jpg'}",magazine subscriptions,,"{'Date First Available': 'September 30, 2015'}",4.3,112
b00170bdvc,civil war times,"{'thumb': 'https://m.media-amazon.com/images/I/51aEOQvEUXL._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/51aEOQvEUXL._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/61WBP1+jyNL._AC_SL1024_.jpg'}",magazine subscriptions,,"{'Date First Available': 'February 19, 2010'}",4.6,97
b07clymtgj,american farmhouse style,"{'thumb': 'https://m.media-amazon.com/images/I/61X4X0nx13L._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/61X4X0nx13L._AC_.jpg', 'variant': 'MAIN', 'hi_res': None}",magazine subscriptions,,"{'Date First Available': 'April 25, 2018'}",4.6,276
b00007kzl3,"new zealand quilter,print magazine","{'thumb': 'https://m.media-amazon.com/images/I/51Y0P7G85RL._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/51Y0P7G85RL._AC_.jpg', 'variant': 'MAIN', 'hi_res': None}",magazine subscriptions,"now in its twelfth year of publication, new zealand quilter provides information and inspiration for quilters world wide. from classic to contemporary, art quilts through to domestic bed quilts, new zealand quilter showcases them all in glorious colour.","{'Date First Available': 'September 18, 2006', 'Manufacturer': 'New Zealand Quilter'}",5.0,1
b001c1wnm4,"o, the oprah magazine,print magazine","{'thumb': 'https://m.media-amazon.com/images/I/51oT0mEELpL._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/51oT0mEELpL._AC_.jpg', 'variant': 'MAIN', 'hi_res': None}",magazine subscriptions,,"{'Date First Available': 'June 2, 2020', 'Manufacturer': 'Hearst Magazines'}",3.3,5
b0160cmacc,"cricket,print magazine","{'thumb': 'https://m.media-amazon.com/images/I/51ppa29SlqL._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/51ppa29SlqL._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/71aUqGvPDXL._AC_SL1024_.jpg'}",magazine subscriptions,,"{'Date First Available': 'September 30, 2015'}",4.5,280
b002pxw12u,rifleshooter,"{'thumb': 'https://m.media-amazon.com/images/I/6151H4sw3pL._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/6151H4sw3pL._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/71p7uaAuTXL._AC_SL1024_.jpg'}",magazine subscriptions,,"{'Date First Available': 'September 22, 2009'}",4.7,232
b01hbmu6hg,"elle,print magazine","{'thumb': 'https://m.media-amazon.com/images/I/61T64h52QyL._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/61T64h52QyL._AC_.jpg', 'variant': 'MAIN', 'hi_res': None}",magazine subscriptions,"elle is for the bold and the intelligent. it is for women who provoke and inspire. through rich visual content, sharp reporting, and a mix of high fashion and personal style, we deliver a sense of discovery and optimism that encourages women to leave their unique mark on the world.","{'Date First Available': 'June 20, 2016', 'Manufacturer': 'Hearst Magazines'}",4.4,1044
b002pxw102,"quick quilts,print magazine","{'thumb': 'https://m.media-amazon.com/images/I/512Oh4eBgnL._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/512Oh4eBgnL._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/A1urwcj7rHL._AC_SL1500_.jpg'}",magazine subscriptions,"filled with time-saving secrets and quick, fun projects that make it easy for you to create amazing quilts! perfect for both beginners and seasoned quilters. every issue includes 14+ quick & easy quilting projects, quiltmaking fundamentals, step-by-step instructions and fun gift ideas! published 6 times a year.","{'Date First Available': 'September 22, 2009', 'Manufacturer': 'F+W Subscription Services, LLC'}",4.5,44
b00007l0c5,"sculpture review,print magazine","{'thumb': 'https://m.media-amazon.com/images/I/51f672j+K1L._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/51f672j+K1L._AC_.jpg', 'variant': 'MAIN', 'hi_res': None}",magazine subscriptions,"presents contemporary and historical representational american sculpture. features reproductions, color tip-ins, news of sculpture and technical information and book reviews are in each issue.","{'Date First Available': 'September 18, 2006', 'Manufacturer': 'National Sculpture Society'}",2.1,9
b01jgn175i,"calm color create,print magazine","{'thumb': 'https://m.media-amazon.com/images/I/61A36jDQrLL._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/61A36jDQrLL._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/81N8Mo6xuEL._AC_SL1500_.jpg'}",magazine subscriptions,"calm color create - an adult coloring book and the latest craze in publishing, has 64 pages of intricate coloring spreads, designed to help focus the mind and aid relaxation. each issue is filled with sophisticated designs, bespoke patterns, mandalas and tangles based on a theme. also included is a feature section offering tips and techniques, craft project ideas using the completed drawings as well as a gallery showcasing the colorists finished masterpieces. the pages are perforated for easy removal. calm color create offers a form of escapism, where one can shed the stress of daily life. published bi-monthly.","{'Date First Available': 'August 1, 2016', 'Manufacturer': 'Redan, Inc.'}",5.0,1
b00006k34d,"american bungalow,print magazine","{'thumb': 'https://m.media-amazon.com/images/I/61DMuxDfKdL._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/61DMuxDfKdL._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/91-sUqmxfaL._AC_SL1500_.jpg'}",magazine subscriptions,"a magazine published in the interest of preserving and restoring the modest american 20th century home, the bungalow, and the rich lifestyle it affords. usually ships within 3-5 weeks.","{'Date First Available': 'April 21, 2010', 'Manufacturer': 'American Bungalow'}",4.6,35
b00005q7e7,"bird watchers digest,print magazine","{'thumb': 'https://m.media-amazon.com/images/I/516W7nWLWgL._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/516W7nWLWgL._AC_.jpg', 'variant': 'MAIN', 'hi_res': None}",magazine subscriptions,"experience the beauty and tranquility of birds in your own backyard and beyond. bird watchers digest offers tips on feeding, gardening, bird identification, and more.","{'Date First Available': 'September 19, 2006', 'Manufacturer': 'Pardson Inc'}",4.3,68
b01m0dv32a,"gq,print magazine","{'thumb': 'https://m.media-amazon.com/images/I/61Y4HORBErL._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/61Y4HORBErL._AC_.jpg', 'variant': 'MAIN', 'hi_res': None}",magazine subscriptions,"product description, dive into, gq, ’s culture-defining covers with timothée chalamet, travis scott, zendaya, daniel craig, lebron james, and more. from dynamic storytelling to elevated style—if it’s at the center of the zeitgeist, it’s in the magazine. subscribe now and never miss bleeding-edge fashion from all over the world, captivating photography from innovative artists, and unforgettable profiles and longform journalism., amazon.com review, gq, is the flagship of men's fashion and style. to be, gq, is to be forward-looking, progressive and cutting-edge., gq, is home to some of the most elevated and respected in photography, design, reporting and writing in the men’s space., gq, fosters a community where readers gather to be inspired and exchange ideas around style, creativity and culture.  as masculinity evolves and men's fashion has moved to the center of the global pop-culture conversation,, gq, 's authority has never been broader or stronger.  subscribe to, gq, and become a part of this forward-looking, progressive and cutting-edge community; you’re not going to want to miss out.","{'Date First Available': 'October 7, 2016', 'Manufacturer': 'Conde Nast Publications'}",4.1,153
b00005n7xs,"cosmogirl!,print magazine","{'thumb': 'https://m.media-amazon.com/images/I/61wRlDfhnaL._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/61wRlDfhnaL._AC_.jpg', 'variant': 'MAIN', 'hi_res': None}",magazine subscriptions,,"{'Date First Available': 'April 30, 2015', 'Manufacturer': 'Hearst Magazines'}",3.9,49
b00024cxm2,icreate - england,"{'thumb': 'https://m.media-amazon.com/images/I/51-4R3Ko7rL._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/51-4R3Ko7rL._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/61s2NNjP5zL._AC_SL1024_.jpg'}",magazine subscriptions,,"{'Date First Available': 'September 14, 2006'}",4.2,52
b08r2d5wkz,"the pioneer woman magazine,print magazine","{'thumb': 'https://m.media-amazon.com/images/I/71Vo-ghOTcL._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/71Vo-ghOTcL._AC_.jpg', 'variant': 'MAIN', 'hi_res': None}",magazine subscriptions,"ree drummond shares her enthusiasm for the simple joys in life and inspires readers with her newest creation, the pioneer woman magazine. each issue is like a day with a good friend, full of helpful advice, great recipes, fun shopping and heartfelt stories - and lots of laughs.","{'Date First Available': 'December 21, 2020', 'Manufacturer': 'Hearst Magazines'}",4.6,82
b00006k8tc,chronicles,"{'thumb': 'https://m.media-amazon.com/images/I/518D8AWCDKL._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/518D8AWCDKL._AC_.jpg', 'variant': 'MAIN', 'hi_res': None}",magazine subscriptions,,"{'Date First Available': 'September 14, 2006'}",4.4,10
